ShuttleLocation,ShuttleType,EngineType,EngineVendor,Engines,PassengerCapacity,CancellationPolicy,Crew,DCheckComplete,MoonClearanceComplete,Price,CompanyId,ShuttleId,ReviewScoresRating,ReviewScoresComfort,ReviewScoresAmenities,ReviewScoresTrip,ReviewScoresCrew,ReviewScoresLocation,ReviewScoresPrice,NumberOfReviews,ReviewsPerMonth,Id,CompanyRating,CompanyLocation,TotalFleetCount,IataApproved
Barbados,Type V5,Plasma,ThetaBase Services,2,3,strict,2,True,False,3470,42114,12358,95,9,9,10,10,10,9,23,0.28,42114,1,Sao Tome and Principe,3,True
Rwanda,Type V5,Plasma,ThetaBase Services,1,3,moderate,1,True,False,2495,31859,259,94,10,10,10,10,9,9,182,1.97,31859,1,Maldives,2,False
Marshall Islands,Type F5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1390,4795,71339,96,10,9,10,10,9,10,55,0.59,4795,1,Malta,1,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1,4,moderate,2,False,False,2040,5570,56080,100,10,10,10,10,10,10,26,1.07,5570,1,Finland,1,True
Malta,Type V5,Plasma,ThetaBase Services,2,5,strict,3,False,False,3210,33906,66614,93,9,9,9,9,10,9,15,0.18,33906,0.8,Marshall Islands,1,False
Niue,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1455,11781,16137,96,9,9,10,10,9,9,65,0.71,11781,1,Guinea,2,True
Niue,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1377,32063,54844,94,10,9,10,10,9,9,74,1.05,32063,1,Niue,2,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2625,14240,58486,60,9,8,8,8,9,7,3,0.03,14240,1,Chile,3,True
Nicaragua,Type V5,Quantum,ThetaBase Services,1,3,strict,2,False,False,1650,14191,14259,91,9,9,10,10,10,9,202,2.2,14191,1,Slovakia (Slovak Republic),1,False
United Kingdom,Type G0,Plasma,ThetaBase Services,2,5,strict,2,True,False,3028,37646,5637,87,9,9,9,9,9,9,25,0.34,37646,1,Estonia,60,False
Micronesia,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1429,15391,23951,97,10,10,10,10,9,10,34,0.93,15391,0.9,Niger,2,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2235,14240,2990,95,9,9,10,10,10,9,25,0.28,14240,1,Chile,3,True
Costa Rica,Type V5,Plasma,ThetaBase Services,1,4,strict,2,True,False,2300,37392,7653,94,10,10,10,10,9,9,70,0.8,37392,1,Micronesia,7,True
Russian Federation,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1416,9011,40515,97,10,9,9,10,10,9,64,0.73,9011,1,Russian Federation,1,False
Niue,Type V5,Plasma,ThetaBase Services,2,6,strict,3,False,False,1845,26524,45692,91,9,10,10,10,8,9,15,0.28,26524,1,Guinea,2,True
Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,moderate,0,True,False,1611,35807,15000,97,10,10,10,10,9,10,141,1.6,35807,1,Sao Tome and Principe,2,False
Malta,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2170,13525,48747,97,10,9,10,10,9,10,21,0.3,13525,1,Nauru,1,False
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1,2,flexible,1,False,False,1715,29563,43966,85,9,9,10,10,9,9,4,0.13,29563,1,Jersey,2,False
Malta,Type V5,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1767,794,18155,99,10,10,10,10,10,10,134,1.51,794,1,Indonesia,1,False
Kiribati,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1845,283,58876,70,9,9,10,10,9,7,5,0.06,283,1,United Kingdom,1,True
Barbados,Type V5,Plasma,ThetaBase Services,1,2,moderate,1,False,False,2157,20847,24706,100,10,10,6,10,8,10,1,0.01,20847,1,Bouvet Island (Bouvetoya),2,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,strict,3,False,False,1650,14602,70604,96,10,9,9,10,9,9,18,0.21,14602,1,Malawi,1,True
United Kingdom,Type G0,Plasma,ThetaBase Services,1,3,strict,1,True,False,2872,37646,22234,73,7,9,9,9,9,8,7,0.1,37646,1,Estonia,60,False
Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,strict,3,False,False,2105,45546,16340,94,9,9,10,10,10,9,42,0.49,45546,1,Cape Verde,19,True
Rwanda,Type G0,Plasma,ThetaBase Services,2,5,strict,2,True,False,3015,37646,41203,83,8,8,8,8,9,9,20,0.29,37646,1,Estonia,60,False
United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1325,39713,17610,94,9,10,10,10,9,9,63,0.73,39713,1,Denmark,4,False
Rwanda,Type V5,Plasma,ThetaBase Services,2,5,strict,2,False,False,2560,6518,6684,87,9,8,9,10,9,9,30,0.35,6518,1,Uzbekistan,1,False
United Kingdom,Type V5,Plasma,ThetaBase Services,2,6,strict,3,False,False,3990,32603,31569,88,9,9,9,9,9,9,193,2.27,32603,0.83,Nicaragua,4,True
Malta,Type V5,Quantum,ThetaBase Services,2,2,strict,2,False,False,1585,9829,13839,100,10,10,10,8,10,10,2,0.02,9829,0.7,Nauru,1,False
United Kingdom,Type V5,Quantum,ThetaBase Services,1,3,strict,2,False,False,1585,10204,32376,92,10,10,9,9,10,9,431,5,10204,1,Nicaragua,5,True
Russian Federation,Type V5,Plasma,ThetaBase Services,2,4,strict,3,False,False,3405,45546,35048,93,10,9,9,10,10,9,46,0.53,45546,1,Cape Verde,19,True
Malta,Type V5,Plasma,ThetaBase Services,1,3,moderate,1,False,False,2430,17703,77029,94,10,9,10,10,10,9,108,1.34,17703,1,Marshall Islands,1,False
Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1390,293,57334,96,10,9,10,10,10,10,28,0.33,293,1,Lebanon,1,False
Bouvet Island (Bouvetoya),Type V2,Plasma,ThetaBase Services,3,8,strict,4,False,False,2469,44853,2266,98,10,10,10,10,9,10,21,0.25,44853,1,Lebanon,2,False
Rwanda,Type F5,Plasma,ThetaBase Services,1,2,strict,2,False,False,2300,28458,24650,91,9,9,9,9,8,9,29,0.35,28458,1,Turkmenistan,6,False
Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,strict,3,False,False,2040,24133,40761,82,9,8,9,10,9,8,134,1.56,24133,1,Cuba,1,True
United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1325,4237,8691,89,9,9,9,9,9,9,38,0.47,4237,0.33,Holy See (Vatican City State),1,False
Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,1,strict,1,True,False,1325,39724,48391,88,9,9,9,9,9,9,120,1.45,39724,0.86,Sao Tome and Principe,2,False
Nicaragua,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1585,32659,56396,98,10,10,10,10,10,10,471,5.49,32659,1,Cuba,1,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,3,strict,2,False,False,1481,10204,55579,93,9,10,9,10,10,9,390,4.58,10204,1,Nicaragua,5,True
Anguilla,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1247,36659,28853,97,10,10,10,10,9,10,43,0.5,36659,1,Anguilla,2,True
Russian Federation,Type V5,Quantum,ThetaBase Services,2,3,moderate,2,False,False,1910,31686,68424,95,10,10,10,10,10,9,39,0.46,31686,1,Finland,1,True
Malta,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1312,8654,14058,93,10,10,10,10,10,10,8,1.27,8654,1,Christmas Island,3,False
Malta,Type V5,Quantum,ThetaBase Services,1,1,moderate,1,True,False,1429,38347,42319,93,10,10,9,10,10,9,67,1.75,38347,1,El Salvador,1,False
Anguilla,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1520,46667,44970,97,10,10,10,10,9,10,67,0.82,46667,1,United Kingdom,1,False
Costa Rica,Type O3,Quantum,ThetaBase Services,1,2,strict,1,False,False,1845,37392,38755,98,10,10,10,10,10,9,8,0.16,37392,1,Micronesia,7,True
Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2105,1499,62135,95,10,9,10,10,10,10,37,0.75,1499,1,Tonga,2,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1247,15164,65506,100,10,10,10,10,8,10,1,0.02,15164,1,Tanzania,2,True
Barbados,Type V5,Plasma,ThetaBase Services,1,2,strict,1,True,False,1780,21341,53927,98,10,10,9,10,9,9,17,0.21,21341,0.8,Tonga,1,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,moderate,1,False,False,2820,34203,31148,99,10,10,10,10,10,10,74,0.95,34203,1,Uzbekistan,2,True
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,4,strict,2,True,False,2950,34259,62620,94,9,9,10,10,10,9,16,0.23,34259,1,Sao Tome and Principe,2,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1559,8442,57908,95,10,10,10,10,9,9,343,4.26,8442,1,Tunisia,2,True
Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1494,39724,61273,88,9,9,9,9,9,9,120,1.51,39724,0.86,Sao Tome and Principe,2,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1845,34126,69882,100,10,10,10,10,10,10,1,0.02,34126,1,French Guiana,1,True
Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1325,3777,46698,98,10,10,10,10,9,10,150,1.89,3777,1,Kiribati,1,True
Malta,Type V5,Plasma,ThetaBase Services,2,5,strict,2,True,False,2001,40390,62223,86,9,8,10,9,9,9,160,2.11,40390,1,Marshall Islands,2,True
Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,True,False,1650,34259,69763,97,9,10,10,10,9,9,201,2.49,34259,1,Sao Tome and Principe,2,True
Mexico,Type V2,Quantum,ThetaBase Services,1,2,flexible,1,True,False,1130,10950,14185,80,8,6,10,10,10,7,2,0.21,10950,1,Greenland,1,False
Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1130,27316,29920,83,8,8,9,9,8,8,23,0.36,27316,1,Puerto Rico,5,False
Malta,Type V5,Plasma,ThetaBase Services,2,5,strict,2,False,False,2105,34753,55265,96,10,9,10,10,10,10,11,0.81,34753,1,El Salvador,1,True
Faroe Islands,Type O3,Quantum,ThetaBase Services,1,2,strict,1,False,False,1520,1539,48917,100,10,9,10,10,9,9,3,0.06,1539,1,Micronesia,3,False
Russian Federation,Type V2,Quantum,ThetaBase Services,1,2,strict,1,True,False,2144,36524,25889,97,10,10,10,10,10,10,56,1.99,36524,1,Saint Helena,8,True
Micronesia,Type V5,Plasma,ThetaBase Services,1,4,moderate,1,True,False,3145,4306,71387,85,9,8,9,9,10,8,193,2.39,4306,0.83,China,3,False
Micronesia,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2820,10079,50007,91,9,9,9,9,10,9,96,1.26,10079,1,Rwanda,1,False
Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1,2,strict,2,False,False,1260,27316,63296,80,10,9,9,10,9,9,6,0.08,27316,1,Puerto Rico,5,False
Gambia,Type V5,Plasma,ThetaBase Services,2,6,strict,4,False,False,2690,33823,1245,85,9,8,9,9,9,9,34,0.5,33823,0.78,France,17,True
Rwanda,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,False,False,2820,19806,27694,96,10,9,10,10,9,9,24,0.45,19806,0.6,Papua New Guinea,1,False
Rwanda,Type V7,Plasma,ThetaBase Services,2,6,strict,2,False,False,4445,19934,15821,94,9,10,10,10,9,9,84,1.04,19934,1,Svalbard & Jan Mayen Islands,2,True
Rwanda,Type V2,Plasma,ThetaBase Services,2,6,moderate,3,True,False,2755,22324,45164,97,9,10,10,10,10,9,18,0.24,22324,1,Venezuela,6,True
Nicaragua,Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,2027,10865,30759,88,9,8,10,10,9,9,52,0.65,10865,0.88,Isle of Man,2,True
Malta,Type F5,Quantum,ThetaBase Services,1,1,flexible,1,True,False,1325,31381,58248,92,10,9,10,10,9,9,47,0.58,31381,1,Niue,2,False
Malta,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,True,False,1325,31381,3928,93,9,9,10,10,9,9,133,1.63,31381,1,Niue,2,False
Nicaragua,Type V5,Quantum,"Banks, Wood and Phillips",1,3,strict,1,False,False,1546,2115,45061,96,10,10,10,10,10,10,440,5.39,2115,1,Jersey,2,True
Nicaragua,Type V5,Plasma,ThetaBase Services,1,5,strict,2,False,False,2950,2115,9738,95,10,9,10,10,10,9,29,0.47,2115,1,Jersey,2,True
Rwanda,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,False,False,1351,41207,25137,90,9,8,10,10,9,9,116,1.42,41207,1,Svalbard & Jan Mayen Islands,1,True
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1325,22030,59532,95,10,10,10,10,9,9,122,1.51,22030,1,French Guiana,3,True
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1585,31871,28342,97,10,10,10,10,9,10,246,3.01,31871,1,Uzbekistan,1,True
Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1520,37632,61194,93,9,10,9,10,9,9,27,0.33,37632,1,Costa Rica,2,False
Barbados,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1650,14700,2390,91,10,8,10,10,10,9,34,0.63,14700,1,Montserrat,3,False
Barbados,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1520,14700,50943,97,10,9,10,10,10,10,35,0.43,14700,1,Montserrat,3,False
Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1416,48879,18325,92,10,9,10,9,9,9,30,0.44,48879,1,Russian Federation,1,True
Micronesia,Type V5,Plasma,ThetaBase Services,3,5,flexible,3,False,False,4510,37662,76729,96,10,8,10,10,10,9,10,0.15,37662,1,Kenya,2,True
Rwanda,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1780,10195,30461,91,9,10,10,9,9,9,21,0.27,10195,1,Croatia,1,True
Anguilla,Type F5,Plasma,ThetaBase Services,1,2,flexible,1,False,False,1520,7802,75029,97,10,10,10,10,9,10,156,1.92,7802,1,Anguilla,1,True
Barbados,Type V5,Quantum,ThetaBase Services,0,2,strict,1,True,False,2833,37117,5819,92,9,9,9,10,10,9,161,1.99,37117,1,Slovakia (Slovak Republic),2,True
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1390,33956,21106,95,10,9,10,10,9,9,58,0.74,33956,1,Lebanon,1,True
United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1195,17650,62917,90,9,10,10,10,10,10,2,0.45,17650,1,Tanzania,1,False
United Kingdom,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2040,39467,63824,99,10,10,10,10,10,10,286,3.55,39467,1,Nicaragua,4,True
Bouvet Island (Bouvetoya),Type V7,Quantum,ThetaBase Services,1,2,strict,1,False,False,1793,5223,28814,99,10,10,10,10,10,10,102,1.27,5223,1,Chile,1,True
Estonia,Type F5,Quantum,ThetaBase Services,1,1,strict,1,True,False,1195,33400,37297,93,9,9,10,10,9,9,169,2.14,33400,0.97,Zimbabwe,5,True
Estonia,Type F5,Quantum,ThetaBase Services,1,3,moderate,2,True,False,1416,33400,11190,86,9,8,9,9,9,9,129,1.74,33400,0.97,Zimbabwe,5,True
Russian Federation,Type V2,Quantum,ThetaBase Services,1,2,moderate,1,True,False,1494,13831,16187,93,9,9,10,10,9,9,133,1.9,13831,1,Russian Federation,1,True
Russian Federation,Type O3,Quantum,ThetaBase Services,1,2,strict,2,False,False,1585,43481,26349,97,10,9,10,10,9,10,35,0.54,43481,1,Russian Federation,4,True
Rwanda,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,True,False,1845,24781,9169,94,9,9,10,10,8,9,54,0.67,24781,1,Svalbard & Jan Mayen Islands,1,True
Russian Federation,Type V5,Plasma,ThetaBase Services,1,4,strict,1,False,False,2170,23308,26104,86,9,8,9,10,9,9,73,0.96,23308,1,Tonga,2,True
Faroe Islands,Type O3,Quantum,ThetaBase Services,1,2,flexible,2,False,False,1520,1539,24698,93,9,9,10,10,9,10,3,0.15,1539,1,Micronesia,3,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2,7,strict,3,True,False,3171,30435,50222,89,9,9,9,9,9,9,39,0.49,30435,0.99,Cape Verde,41,False
Niue,Type F5,Plasma,ThetaBase Services,5,12,strict,7,False,False,4770,12017,34345,98,10,9,10,10,9,9,23,0.33,12017,1,Guinea,1,False
Rwanda,Type V5,Plasma,ThetaBase Services,2,4,strict,2,True,False,1975,3840,55690,91,9,9,10,10,9,9,7,0.42,3840,1,Estonia,1,True
Faroe Islands,Type F5,Quantum,ThetaBase Services,2,4,strict,3,False,False,2170,1539,2915,90,10,10,10,10,9,9,4,0.06,1539,1,Micronesia,3,False
Indonesia,Type V5,Plasma,ThetaBase Services,2,4,strict,2,True,False,1910,22091,46073,88,9,9,9,10,9,10,15,0.22,22091,1,Faroe Islands,9,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1585,1294,7998,99,10,10,10,10,10,10,41,0.52,1294,1,Lebanon,1,False
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,moderate,2,True,False,1845,38836,41774,92,9,9,10,10,10,9,16,0.26,38836,1,Lebanon,3,False
Nicaragua,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2495,44046,18936,97,10,10,9,10,10,9,42,0.54,44046,1,Cuba,1,True
Bouvet Island (Bouvetoya),Type V5,Plasma,"Banks, Wood and Phillips",5,7,strict,5,False,False,2495,35176,5833,98,10,10,10,10,9,9,66,0.83,35176,1,Chile,3,True
Malta,Type V5,Plasma,"Banks, Wood and Phillips",1,1,moderate,1,True,False,1520,33514,49989,92,9,9,10,10,10,9,22,0.4,33514,1,Marshall Islands,2,True
United Kingdom,Type O3,Quantum,ThetaBase Services,1,2,flexible,1,True,False,1195,21642,69391,85,9,9,9,9,8,9,56,0.77,21642,1,Denmark,1,False
Nicaragua,Type Z6,Plasma,ThetaBase Services,1,2,moderate,1,False,False,2040,27227,36278,98,10,10,10,10,9,10,68,1.03,27227,1,Isle of Man,2,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1650,32651,23716,98,10,10,10,10,9,10,176,2.21,32651,1,Guinea,1,True
Malta,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,True,False,1325,33514,32170,91,9,9,10,10,9,9,389,4.88,33514,1,Marshall Islands,2,True
Indonesia,Type F5,Plasma,ThetaBase Services,3,6,strict,3,False,False,4120,12799,70355,72,7,6,8,9,8,6,7,1.4,12799,0.8,Faroe Islands,2,False
Malta,Type V5,Plasma,ThetaBase Services,2,8,strict,4,False,False,3457,40752,51642,91,9,9,10,10,9,9,93,1.25,40752,1,Tunisia,5,True
Guinea,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2690,13510,71059,99,10,10,10,10,10,10,82,1.05,13510,1,Fiji,3,True
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1481,26704,55078,97,10,10,10,10,10,10,233,2.94,26704,1,Malawi,2,True
Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2560,49765,15973,99,10,10,10,10,10,10,60,0.8,49765,1,Uzbekistan,1,True
Malta,Type V5,Plasma,ThetaBase Services,1,2,strict,0,False,False,2755,42867,32906,90,9,9,9,9,10,8,44,0.58,42867,1,Indonesia,2,True
United Kingdom,Type V7,Plasma,ThetaBase Services,1,2,strict,1,False,False,2040,12701,8171,89,9,8,10,10,10,9,13,0.3,12701,1,Monaco,1,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,True,False,2157,48652,16911,90,9,9,10,10,10,9,98,1.26,48652,1,Isle of Man,1,True
Malta,Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1780,30797,30018,87,9,9,9,9,9,9,214,2.78,30797,0.9,Tunisia,1,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2,2,flexible,1,False,False,2170,14870,61949,100,10,10,10,10,10,10,1,0.01,14870,1,Jersey,1,True
Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,strict,0,False,False,1455,14034,53554,97,10,10,10,10,9,9,23,0.31,14034,1,Russian Federation,1,False
United Kingdom,Type V5,Plasma,ThetaBase Services,3,8,strict,3,False,False,2573,44336,45295,87,9,8,10,10,9,9,19,0.33,44336,0.83,Monaco,1,True
Rwanda,Type F5,Plasma,ThetaBase Services,2,5,strict,3,False,False,2287,22860,55198,99,10,10,10,10,9,10,14,0.39,22860,1,Turkmenistan,2,True
Niue,Type F5,Quantum,MCW Global,1,1,flexible,1,False,False,1234,44578,15602,93,9,9,10,10,9,9,45,0.68,44578,1,Niue,2,True
Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,moderate,2,False,False,1130,41378,66890,95,9,9,10,9,9,9,82,1.05,41378,1,Kiribati,1,False
Niue,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1325,36537,58105,92,9,9,10,9,9,9,51,0.71,36537,1,Guinea,1,True
Rwanda,Type F5,Plasma,ThetaBase Services,2,4,strict,3,False,False,2690,17120,873,97,10,10,10,10,10,10,56,0.73,17120,1,Uzbekistan,2,True
Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1520,17396,46642,99,10,10,10,10,10,10,43,1.36,17396,1,Micronesia,1,False
Barbados,Type V5,Plasma,ThetaBase Services,2,3,moderate,1,False,False,2820,5567,21016,86,9,8,9,10,10,9,54,0.77,5567,1,Bosnia and Herzegovina,2,True
Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1260,39013,36733,96,9,9,10,10,9,9,36,0.66,39013,0.86,Russian Federation,1,True
United Kingdom,Type V5,Plasma,ThetaBase Services,3,6,strict,3,False,False,4757,4267,6838,96,10,10,10,10,9,10,23,0.3,4267,1,Senegal,22,True
Sao Tome and Principe,Type O3,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1390,34344,4627,97,10,10,10,10,9,10,194,2.6,34344,1,Denmark,1,False
Barbados,Type V5,Plasma,ThetaBase Services,1,4,moderate,1,True,False,3210,35170,38039,96,10,10,10,10,10,9,177,2.36,35170,1,Vietnam,5,True
Kiribati,Type V5,Plasma,ThetaBase Services,1,2,moderate,1,True,False,2170,30118,44269,93,9,9,10,10,9,9,18,0.27,30118,1,Nicaragua,1,False
Malta,Type V5,Plasma,ThetaBase Services,1,4,strict,0,False,False,1962,44736,26992,95,10,10,10,10,9,10,34,0.44,44736,1,Guernsey,1,True
United Kingdom,Type V5,Plasma,ThetaBase Services,3,6,strict,3,False,False,3340,45546,64916,93,9,9,10,9,10,9,62,0.81,45546,1,Cape Verde,19,True
Rwanda,Type V5,Quantum,ThetaBase Services,1,1,strict,1,True,False,1650,20908,6682,95,10,10,10,10,10,9,196,2.67,20908,1,Maldives,1,True
United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2690,20463,20792,97,10,10,10,10,10,10,68,0.94,20463,1,Lithuania,2,False
Switzerland,Type V2,Quantum,ThetaBase Services,1,1,strict,1,False,False,1234,43640,36206,80,10,6,10,10,10,10,1,0.15,43640,1,Turks and Caicos Islands,1,False
United Kingdom,Type V5,Plasma,ThetaBase Services,2,6,moderate,2,True,False,2495,29901,32877,94,10,8,10,10,9,9,25,0.32,29901,0.33,Lithuania,1,True
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1715,35176,76442,92,9,10,10,10,10,9,10,0.14,35176,1,Chile,3,True
Niue,Type F5,Quantum,ThetaBase Services,1,2,moderate,1,True,False,1455,9689,15714,98,10,10,10,10,9,10,74,1.02,9689,1,Guinea,2,False
United Kingdom,Type V2,Quantum,ThetaBase Services,4,2,strict,1,True,False,2105,41478,13904,90,10,9,9,9,9,9,14,0.21,41478,1,Monaco,2,False
Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1546,37632,32160,100,10,10,10,10,9,10,3,0.06,37632,1,Costa Rica,2,False
Barbados,Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1494,3294,21354,94,9,9,10,10,10,9,128,2.15,3294,1,Uganda,3,False
