Id,CompanyId,ShuttleLocation,ShuttleType,EngineType,EngineVendor,Engines,PassengerCapacity,Crew,CancellationPolicy,Price,DCheckComplete,MoonClearanceComplete
63296,27316,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1,2,2,strict,1260,False,False
1245,33823,Gambia,Type V5,Plasma,ThetaBase Services,2,6,4,strict,2690,False,False
27694,19806,Rwanda,Type V5,Plasma,ThetaBase Services,2,4,2,moderate,2820,False,False
15821,19934,Rwanda,Type V7,Plasma,ThetaBase Services,2,6,2,strict,4445,False,False
21340,34296,Micronesia,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1455,False,False
45164,22324,Rwanda,Type V2,Plasma,ThetaBase Services,2,6,3,moderate,2755,True,False
55707,42262,Rwanda,Type V5,Plasma,ThetaBase Services,2,5,1,strict,1949,False,False
26825,8945,Niue,Type Z6,Quantum,ThetaBase Services,1,1,1,flexible,1260,True,False
30759,10865,Nicaragua,Type V5,Quantum,ThetaBase Services,1,2,1,strict,2027,True,False
26566,1082,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,1,flexible,1455,False,False
53300,19028,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,5,3,moderate,2820,False,False
29055,16587,Pakistan,Type V5,Plasma,ThetaBase Services,1,4,2,strict,1910,False,False
14143,10212,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1338,False,False
60535,10212,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,3,1,strict,2430,False,False
31446,14629,Rwanda,Type V7,Quantum,ThetaBase Services,1,2,1,strict,1650,False,False
63186,14629,Rwanda,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1260,True,False
58248,31381,Malta,Type F5,Quantum,ThetaBase Services,1,1,1,flexible,1325,True,False
3928,31381,Malta,Type F5,Quantum,ThetaBase Services,1,1,1,moderate,1325,True,False
61718,24713,Bouvet Island (Bouvetoya),Type F5,Plasma,ThetaBase Services,4,7,7,strict,2690,False,False
45061,2115,Nicaragua,Type V5,Quantum,"Banks, Wood and Phillips",1,3,1,strict,1546,False,False
9738,2115,Nicaragua,Type V5,Plasma,ThetaBase Services,1,5,2,strict,2950,False,False
59108,39416,Switzerland,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,2820,False,False
25137,41207,Rwanda,Type V5,Quantum,ThetaBase Services,1,1,1,flexible,1351,False,False
19720,11024,Malta,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,3860,True,False
32096,43313,Switzerland,Type O3,Quantum,ThetaBase Services,1,2,1,flexible,1845,False,False
41284,19141,Malta,Type Z6,Quantum,ThetaBase Services,1,2,1,moderate,2495,False,False
59532,22030,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1325,False,False
28342,31871,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,strict,1585,False,False
61194,37632,Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1520,False,False
2390,14700,Barbados,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1650,False,False
50943,14700,Barbados,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1520,False,False
1464,38159,Gambia,Type V5,Quantum,ThetaBase Services,1,1,1,moderate,1312,False,False
47810,38742,United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1260,False,False
73246,49221,Gambia,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,1455,False,False
21708,2284,Switzerland,Type F5,Quantum,ThetaBase Services,1,2,1,strict,3470,False,False
5480,22074,Nicaragua,Type V5,Plasma,ThetaBase Services,2,2,2,flexible,1910,False,False
18325,48879,Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1416,False,False
25749,16273,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,strict,1650,False,False
76729,37662,Micronesia,Type V5,Plasma,ThetaBase Services,3,5,3,flexible,4510,False,False
30461,10195,Rwanda,Type V5,Plasma,ThetaBase Services,1,2,1,strict,1780,False,False
75029,7802,Anguilla,Type F5,Plasma,ThetaBase Services,1,2,1,flexible,1520,False,False
5819,37117,Barbados,Type V5,Quantum,ThetaBase Services,0,2,1,strict,2833,True,False
21106,33956,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,strict,1390,False,False
58955,10702,Sao Tome and Principe,Type V2,Plasma,ThetaBase Services,2,4,2,strict,2430,False,False
30363,6364,Russian Federation,Type V5,Plasma,ThetaBase Services,2,4,2,moderate,1910,False,False
12974,30846,Kiribati,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1312,False,False
4819,25473,Niue,Type F5,Quantum,ThetaBase Services,1,2,2,moderate,1520,False,False
45465,3052,Malta,Type F5,Quantum,ThetaBase Services,1,3,3,strict,2820,False,False
10811,3052,Malta,Type F5,Quantum,ThetaBase Services,1,2,1,strict,2690,False,False
24042,3052,Malta,Type F5,Quantum,ThetaBase Services,1,2,1,strict,2690,False,False
62917,17650,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,1195,False,False
39980,6438,Brazil,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1520,False,False
63824,39467,United Kingdom,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2040,False,False
28814,5223,Bouvet Island (Bouvetoya),Type V7,Quantum,ThetaBase Services,1,2,1,strict,1793,False,False
75959,16415,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,strict,2820,False,False
44067,38514,Micronesia,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1455,False,False
3980,6038,Estonia,Type V5,Quantum,ThetaBase Services,1,1,1,moderate,1520,False,False
37297,33400,Estonia,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1195,True,False
11190,33400,Estonia,Type F5,Quantum,ThetaBase Services,1,3,2,moderate,1416,True,False
46614,40047,Marshall Islands,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1715,True,False
22804,1164,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2365,False,False
19451,42135,Switzerland,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1390,False,False
63952,16793,Brazil,Type V5,Quantum,ThetaBase Services,1,1,1,flexible,1520,False,False
16187,13831,Russian Federation,Type V2,Quantum,ThetaBase Services,1,2,1,moderate,1494,True,False
72768,43455,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,1,moderate,1910,False,False
32811,35827,Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,1,flexible,1364,False,False
26349,43481,Russian Federation,Type O3,Quantum,ThetaBase Services,1,2,2,strict,1585,False,False
9169,24781,Rwanda,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1845,True,False
26104,23308,Russian Federation,Type V5,Plasma,ThetaBase Services,1,4,1,strict,2170,False,False
21717,37298,Barbados,Type V5,Quantum,ThetaBase Services,1,2,1,strict,2040,False,False
41579,30112,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,moderate,2040,False,False
7202,42498,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,2,strict,2417,False,False
43090,30276,Nicaragua,Type F5,Plasma,ThetaBase Services,4,8,6,strict,4705,False,False
24698,1539,Faroe Islands,Type O3,Quantum,ThetaBase Services,1,2,2,flexible,1520,False,False
70399,32060,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,1,moderate,1910,False,False
50222,30435,Nicaragua,Type V5,Plasma,ThetaBase Services,2,7,3,strict,3171,True,False
34345,12017,Niue,Type F5,Plasma,ThetaBase Services,5,12,7,strict,4770,False,False
35414,7777,Costa Rica,Type V5,Quantum,ThetaBase Services,1,2,1,flexible,1650,False,False
55690,3840,Rwanda,Type V5,Plasma,ThetaBase Services,2,4,2,strict,1975,True,False
2915,1539,Faroe Islands,Type F5,Quantum,ThetaBase Services,2,4,3,strict,2170,False,False
46073,22091,Indonesia,Type V5,Plasma,ThetaBase Services,2,4,2,strict,1910,True,False
7998,1294,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,1,strict,1585,False,False
41774,38836,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,2,moderate,1845,True,False
48919,47371,Niue,Type F5,Plasma,ThetaBase Services,3,6,3,moderate,4120,False,False
72628,38747,Estonia,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,2170,False,False
52234,1895,Switzerland,Type V5,Quantum,ThetaBase Services,1,2,1,strict,3652,False,False
8089,19078,Rwanda,Type V7,Quantum,ThetaBase Services,1,2,1,strict,1546,True,False
18936,44046,Nicaragua,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2495,False,False
5833,35176,Bouvet Island (Bouvetoya),Type V5,Plasma,"Banks, Wood and Phillips",5,7,5,strict,2495,False,False
49989,33514,Malta,Type V5,Plasma,"Banks, Wood and Phillips",1,1,1,moderate,1520,True,False
69391,21642,United Kingdom,Type O3,Quantum,ThetaBase Services,1,2,1,flexible,1195,True,False
36278,27227,Nicaragua,Type Z6,Plasma,ThetaBase Services,1,2,1,moderate,2040,False,False
18723,48614,Faroe Islands,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1806,False,False
23716,32651,United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1650,False,False
33319,37626,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,2,strict,1585,False,False
75157,8695,Rwanda,Type V5,Plasma,ThetaBase Services,1,3,1,strict,2820,False,False
11854,17545,Malta,Type V5,Quantum,ThetaBase Services,1,1,1,flexible,2040,False,False
32170,33514,Malta,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1325,True,False
70355,12799,Indonesia,Type F5,Plasma,ThetaBase Services,3,6,3,strict,4120,False,False
51642,40752,Malta,Type V5,Plasma,ThetaBase Services,2,8,4,strict,3457,False,False
13055,5559,Nicaragua,Type Z6,Quantum,ThetaBase Services,1,2,1,moderate,2105,False,False
18734,21204,Micronesia,Type V5,Plasma,ThetaBase Services,2,3,3,strict,3600,False,False
70165,32587,Nicaragua,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2170,False,False
26732,17726,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1,2,1,strict,1416,False,False
71059,13510,Guinea,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2690,False,False
58041,17109,Malta,Type Z6,Plasma,ThetaBase Services,2,4,2,moderate,3145,False,False
3327,11716,Pakistan,Type F5,Quantum,ThetaBase Services,1,2,2,moderate,1325,False,False
55078,26704,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,strict,1481,True,False
15973,49765,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2560,False,False
50983,26319,Switzerland,Type F5,Quantum,ThetaBase Services,1,2,2,moderate,1455,False,False
51491,15087,Estonia,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1221,True,False
32906,42867,Malta,Type V5,Plasma,ThetaBase Services,1,2,0,strict,2755,False,False
8171,12701,United Kingdom,Type V7,Plasma,ThetaBase Services,1,2,1,strict,2040,False,False
16911,48652,Nicaragua,Type V5,Plasma,ThetaBase Services,2,4,2,moderate,2157,True,False
30018,30797,Malta,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1780,True,False
15605,15334,Rwanda,Type F5,Plasma,ThetaBase Services,5,9,5,strict,5095,False,False
47793,26537,Switzerland,Type O3,Quantum,ThetaBase Services,1,2,1,moderate,1520,False,False
43283,26537,Switzerland,Type O3,Quantum,"Banks, Wood and Phillips",1,2,1,moderate,1455,False,False
76515,10696,United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,2,strict,2430,False,False
26453,17150,Brazil,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1156,True,False
61949,14870,Nicaragua,Type V5,Plasma,ThetaBase Services,2,2,1,flexible,2170,False,False
71734,20296,Estonia,Type V5,Quantum,ThetaBase Services,1,4,3,strict,2170,False,False
53554,14034,Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,0,strict,1455,False,False
45295,44336,United Kingdom,Type V5,Plasma,ThetaBase Services,3,8,3,strict,2573,False,False
55198,22860,Rwanda,Type F5,Plasma,ThetaBase Services,2,5,3,strict,2287,False,False
15602,44578,Niue,Type F5,Quantum,MCW Global,1,1,1,flexible,1234,False,False
66890,41378,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,2,moderate,1130,False,False
57286,17628,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,2,strict,2950,False,False
6797,32612,United Kingdom,Type V5,Plasma,ThetaBase Services,4,8,4,strict,1520,False,False
25217,26482,Rwanda,Type V5,Plasma,ThetaBase Services,2,4,2,strict,2820,False,False
58105,36537,Niue,Type V5,Quantum,ThetaBase Services,1,2,1,flexible,1325,False,False
873,17120,Rwanda,Type F5,Plasma,ThetaBase Services,2,4,3,strict,2690,False,False
28423,29027,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,1,strict,2170,False,False
12047,47515,Uzbekistan,Type V5,Plasma,ThetaBase Services,2,4,1,strict,5628,True,False
46642,17396,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1520,False,False
47404,9876,Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,1,strict,2885,False,False
21016,5567,Barbados,Type V5,Plasma,ThetaBase Services,2,3,1,moderate,2820,False,False
36733,39013,Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1260,False,False
54251,44885,Rwanda,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1390,False,False
56022,19078,Rwanda,Type V7,Quantum,ThetaBase Services,1,3,2,strict,1624,True,False
6838,4267,United Kingdom,Type V5,Plasma,ThetaBase Services,3,6,3,strict,4757,False,False
68727,48142,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1338,False,False
17886,48142,United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,3,moderate,1780,False,False
24081,7069,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1455,False,False
4627,34344,Sao Tome and Principe,Type O3,Quantum,ThetaBase Services,1,2,1,flexible,1390,False,False
43430,30311,Niue,Type V5,Plasma,ThetaBase Services,1,2,1,strict,1910,False,False
38039,35170,Barbados,Type V5,Plasma,ThetaBase Services,1,4,1,moderate,3210,True,False
19635,727,Malta,Type F5,Plasma,ThetaBase Services,3,6,3,moderate,6720,False,False
44269,30118,Kiribati,Type V5,Plasma,ThetaBase Services,1,2,1,moderate,2170,True,False
26992,44736,Malta,Type V5,Plasma,ThetaBase Services,1,4,0,strict,1962,False,False
22746,17150,Brazil,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1195,True,False
41396,8893,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1403,True,False
64916,45546,United Kingdom,Type V5,Plasma,ThetaBase Services,3,6,3,strict,3340,False,False
45754,44421,United Kingdom,Type V5,Plasma,ThetaBase Services,1,3,2,moderate,2560,False,False
24921,4959,Malta,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,2820,False,False
6682,20908,Rwanda,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1650,True,False
9728,36422,Barbados,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1260,False,False
20095,17533,Costa Rica,Type F5,Quantum,ThetaBase Services,1,3,2,strict,4055,False,False
20792,20463,United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,2,strict,2690,False,False
41136,20350,Faroe Islands,Type V5,Plasma,ThetaBase Services,2,6,5,strict,2430,True,False
24052,30453,Costa Rica,Type V5,Quantum,ThetaBase Services,1,1,1,moderate,1520,False,False
74968,33400,Switzerland,Type F5,Plasma,ThetaBase Services,4,8,5,strict,8670,True,False
34728,34167,Gambia,Type V5,Plasma,ThetaBase Services,1,4,2,strict,6070,False,False
7699,8929,Malta,Type V5,Plasma,ThetaBase Services,2,5,2,strict,3015,False,False
36206,43640,Switzerland,Type V2,Quantum,ThetaBase Services,1,1,1,strict,1234,False,False
1056,3805,Rwanda,Type V5,Quantum,ThetaBase Services,1,2,1,flexible,1494,False,False
